Source,Plant Name,Unit Name,State,Year,Plant Vintage,Technology,Sector,Annual Generation (In MU)
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2019-20,2000-2009,Pressurised Heavy Water Reactor,central,1829.74
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2019-20,2000-2009,Pressurised Heavy Water Reactor,central,1792.46
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2019-20,2010-2019,Pressurised Heavy Water Reactor,central,1807.69
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2019-20,2000-2009,Pressurised Heavy Water Reactor,central,1815.14
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2019-20,1990-1999,Pressurised Heavy Water Reactor,central,1961.70
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2019-20,1990-1999,Pressurised Heavy Water Reactor,central,1467.03
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2019-20,2010-2019,Pressurised Water Reactor,central,4039.45
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2019-20,2010-2019,Pressurised Water Reactor,central,7109.22
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2019-20,1980-1989,Pressurised Heavy Water Reactor,central,0.00
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2019-20,1980-1989,Pressurised Heavy Water Reactor,central,1811.31
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2019-20,1990-1999,Pressurised Heavy Water Reactor,central,1900.32
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2019-20,1990-1999,Pressurised Heavy Water Reactor,central,1890.71
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2019-20,1980-1989,Pressurised Heavy Water Reactor,central,1386.01
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2019-20,2010-2019,Pressurised Heavy Water Reactor,central,1689.82
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2019-20,2000-2009,Pressurised Heavy Water Reactor,central,1687.40
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2019-20,2010-2019,Pressurised Heavy Water Reactor,central,1939.42
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2019-20,2000-2009,Pressurised Heavy Water Reactor,central,1732.66
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 1,Rajasthan,2019-20,1970-1979,Pressurised Heavy Water Reactor,central,0.00
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 3,Maharashtra,2019-20,2000-2009,Pressurised Heavy Water Reactor,central,3816.05
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 4,Maharashtra,2019-20,2000-2009,Pressurised Heavy Water Reactor,central,4511.72
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 2,Maharashtra,2019-20,1960-1969,Boiling Water Reactor,central,1255.28
nuclear,Tarapur Atomic Power Station,Tarapur Atomic Power Station Unit 1,Maharashtra,2019-20,1960-1969,Boiling Water Reactor,central,953.50
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2018-19,2010-2019,Pressurised Heavy Water Reactor,central,1987.43
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2018-19,2000-2009,Pressurised Heavy Water Reactor,central,1590.28
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2018-19,2000-2009,Pressurised Heavy Water Reactor,central,1641.02
