Source,State,Year,Annual Generation (In MU)
solar,Andhra Pradesh,2015-16,282.67
solar,Arunachal Pradesh,2015-16,0.24
solar,Assam,2015-16,31.59
solar,Bihar,2015-16,6.39
solar,Chandigarh,2015-16,3.40
solar,Chhattisgarh,2015-16,52.70
solar,Dadra and Nagar Haveli and Daman and Diu,2015-16,4.75
solar,Delhi,2015-16,4.12
solar,Goa,2015-16,
solar,Gujarat,2015-16,1497.60
solar,Haryana,2015-16,17.37
solar,Himachal Pradesh,2015-16,
solar,Jammu and Kashmir,2015-16,
solar,Jharkhand,2015-16,19.78
solar,Karnataka,2015-16,187.69
solar,Kerala,2015-16,7.39
solar,Lakshadweep,2015-16,1.03
solar,Madhya Pradesh,2015-16,1186.29
solar,Maharashtra,2015-16,638.78
solar,Manipur,2015-16,
solar,Meghalaya,2015-16,
solar,Mizoram,2015-16,
solar,Nagaland,2015-16,
solar,Odisha,2015-16,163.33
solar,Others,2015-16,
solar,Puducherry,2015-16,0.02
solar,Punjab,2015-16,380.57
solar,Rajasthan,2015-16,1775.99
solar,Sikkim,2015-16,
solar,Tamil Nadu,2015-16,507.17
solar,Telangana,2015-16,418.55
solar,Tripura,2015-16,6.04
solar,Uttar Pradesh,2015-16,126.14
solar,Uttarakhand,2015-16,5.87
solar,West Bengal,2015-16,6.28
,,,
"Copyright © 2025, NITI Aayog",,,
https://iced.niti.gov.in,,,
"The information on this platform is mainly taken from official sources. However, in some cases, a few assumptions have been made and some data derived or assumed and is given in the detailed. While we believe that the data is reliable and adequately comprehensive, NITI Aayog ICED does not take guarantee that such information is in all respects accurate. NITI Aayog ICED does not accept any liability for any consequences resulting from the use of this data.sss",,,
